"tip","ass_bid","ass_tid"
"obj","809","821"
"obj","809","126"
"cnt","809","6"
"cnt","809","11"
"cnt","809","13"
"cnt","809","14"
"cnt","809","5"
"cnt","809","12"
"cnt","809","26"
"cnt","809","27"
"obj","807","450"
"obj","807","127"
"obj","807","276"
"obj","807","200"
"obj","807","357"
"obj","807","451"
"cnt","1819","14"
"cnt","1819","13"
"cnt","1819","27"
"cnt","1818","13"
"cnt","1818","14"
"cnt","1818","11"
"cnt","1817","13"
"cnt","1817","14"
"cnt","1817","11"
"cnt","1817","5"
"cnt","1817","6"
"obj","802","860"
"obj","802","540"
"cnt","802","6"
"cnt","802","11"
"cnt","802","13"
"cnt","802","14"
"cnt","786","14"
"cnt","786","5"
"cnt","786","12"
"cnt","786","26"
"cnt","786","27"
"obj","785","724"
"obj","785","588"
"obj","785","575"
"obj","785","55"
"obj","785","56"
"cnt","785","6"
"cnt","785","11"
"cnt","785","13"
"cnt","785","14"
"cnt","756","14"
"cnt","756","5"
"cnt","756","12"
"cnt","756","26"
"cnt","756","27"
"cnt","478","5"
"cnt","478","12"
"cnt","478","26"
"cnt","478","27"
"obj","767","858"
"cnt","758","14"
"cnt","758","13"
"cnt","758","11"
"cnt","758","6"
"obj","758","775"
"obj","758","480"
"obj","758","634"
"obj","758","633"
"obj","758","798"
"obj","758","103"
"cnt","645","13"
"cnt","645","14"
"obj","760","813"
"cnt","760","6"
"cnt","760","11"
"cnt","760","13"
"cnt","760","14"
"obj","597","894"
"obj","597","655"
"obj","597","97"
"obj","597","773"
"cnt","606","11"
"cnt","606","13"
"cnt","606","14"
"cnt","606","5"
"cnt","606","12"
"cnt","606","26"
"cnt","606","27"
"cnt","501","5"
"cnt","501","26"
"cnt","501","27"
"cnt","633","13"
"cnt","633","11"
"cnt","633","6"
"obj","633","79"
"cnt","821","14"
"cnt","821","13"
"cnt","821","11"
"cnt","821","6"
"cnt","591","5"
"cnt","591","12"
"cnt","591","26"
"cnt","591","27"
"cnt","649","6"
"obj","649","545"
"obj","649","598"
"obj","649","466"
"cnt","579","26"
"cnt","579","27"
"cnt","580","12"
"cnt","580","13"
"cnt","580","14"
"cnt","574","13"
"cnt","574","14"
"cnt","574","12"
"obj","574","124"
"obj","574","769"
"obj","574","764"
"obj","574","772"
"obj","574","625"
"cnt","622","6"
"cnt","622","12"
"cnt","622","11"
"cnt","622","26"
"cnt","622","14"
"cnt","622","13"
"cnt","622","27"
"obj","622","701"
"cnt","538","27"
"obj","538","470"
"obj","538","464"
"obj","538","339"
"cnt","568","6"
"cnt","568","11"
"cnt","568","13"
"cnt","568","14"
"obj","568","763"
"obj","568","764"
"obj","568","623"
"obj","361","49"
"obj","361","50"
"obj","361","91"
"obj","361","349"
"obj","793","49"
"obj","793","467"
"obj","793","469"
"obj","793","643"
"obj","793","593"
"obj","793","897"
"obj","793","71"
"obj","793","479"
"obj","793","481"
"obj","793","72"
"obj","838","749"
"cnt","747","5"
"cnt","747","26"
"cnt","747","27"
"obj","747","488"
"obj","747","131"
"obj","747","356"
"obj","747","128"
"obj","747","136"
"obj","561","731"
"obj","561","749"
"obj","561","175"
"obj","733","131"
"obj","733","130"
"obj","733","128"
"obj","733","556"
"obj","733","753"
"obj","733","747"
"obj","733","743"
"obj","733","732"
"obj","715","194"
"obj","715","656"
"obj","715","614"
"obj","715","323"
"cnt","715","5"
"cnt","715","6"
"cnt","715","12"
"cnt","715","11"
"cnt","715","26"
"cnt","715","14"
"cnt","715","13"
"cnt","715","27"
"obj","426","597"
"cnt","426","5"
"cnt","426","6"
"cnt","426","12"
"cnt","426","11"
"cnt","426","26"
"cnt","426","14"
"cnt","426","13"
"cnt","426","27"
"obj","524","525"
"obj","524","526"
"obj","524","527"
"obj","524","528"
"obj","524","529"
"obj","524","530"
"cnt","524","5"
"cnt","524","6"
"cnt","524","12"
"cnt","524","11"
"cnt","524","26"
"cnt","524","14"
"cnt","524","13"
"cnt","524","27"
"cnt","781","14"
"cnt","781","5"
"cnt","781","12"
"cnt","781","26"
"cnt","781","27"
"obj","741","769"
"obj","741","715"
"obj","741","714"
"obj","741","713"
"obj","741","712"
"obj","741","658"
"obj","741","656"
"cnt","741","5"
"cnt","741","6"
"cnt","741","12"
"cnt","741","11"
"cnt","741","26"
"cnt","741","14"
